1 --> sim_03
Date of simulation:  11/03/2016,14:46:53
Description:  
1 18/05/2015,00:00:00  4.00000000000000E+0002
1 19/05/2015,00:00:00  4.00000000000000E+0002
1 20/05/2015,00:00:00  4.00000000000000E+0002
1 21/05/2015,00:00:00  4.00000000000000E+0002
1 22/05/2015,00:00:00  4.00000000000000E+0002
1 23/05/2015,00:00:00  3.31350703237343E+0002
1 24/05/2015,00:00:00  3.31350703237343E+0002
1 25/05/2015,00:00:00  3.31350703237343E+0002
1 26/05/2015,00:00:00  3.31350703237343E+0002
1 27/05/2015,00:00:00  3.31350703237343E+0002
1 28/05/2015,00:00:00  2.91193438930310E+0002
1 29/05/2015,00:00:00  2.91193438930310E+0002
1 30/05/2015,00:00:00  2.91193438930310E+0002
1 31/05/2015,00:00:00  2.91193438930310E+0002
1 01/06/2015,00:00:00  2.62701406474686E+0002
1 02/06/2015,00:00:00  2.62701406474686E+0002
1 03/06/2015,00:00:00  2.62701406474686E+0002
1 04/06/2015,00:00:00  2.62701406474686E+0002
1 05/06/2015,00:00:00  2.40601269152527E+0002
1 06/06/2015,00:00:00  2.40601269152527E+0002
1 07/06/2015,00:00:00  2.40601269152527E+0002
1 08/06/2015,00:00:00  2.22544142167653E+0002
1 09/06/2015,00:00:00  2.22544142167653E+0002
1 10/06/2015,00:00:00  2.07277058837562E+0002
1 11/06/2015,00:00:00  2.07277058837562E+0002
1 12/06/2015,00:00:00  2.07277058837562E+0002
1 13/06/2015,00:00:00  2.07277058837562E+0002
1 14/06/2015,00:00:00  1.94052109712029E+0002
1 15/06/2015,00:00:00  1.94052109712029E+0002
1 16/06/2015,00:00:00  1.94052109712029E+0002
1 17/06/2015,00:00:00  1.82386877860621E+0002
1 18/06/2015,00:00:00  1.82386877860621E+0002
1 19/06/2015,00:00:00  1.82386877860621E+0002
1 20/06/2015,00:00:00  1.82386877860621E+0002
1 21/06/2015,00:00:00  1.71951972389870E+0002
1 22/06/2015,00:00:00  1.71951972389870E+0002
1 23/06/2015,00:00:00  1.71951972389870E+0002
1 24/06/2015,00:00:00  1.71951972389870E+0002
1 25/06/2015,00:00:00  1.71951972389870E+0002
1 26/06/2015,00:00:00  1.71951972389870E+0002
1 27/06/2015,00:00:00  1.62512452182049E+0002
1 28/06/2015,00:00:00  1.62512452182049E+0002
1 29/06/2015,00:00:00  1.62512452182049E+0002
1 30/06/2015,00:00:00  1.62512452182049E+0002
1 01/07/2015,00:00:00  1.53894845404996E+0002
1 02/07/2015,00:00:00  1.53894845404996E+0002
1 03/07/2015,00:00:00  1.53894845404996E+0002
1 04/07/2015,00:00:00  1.53894845404996E+0002
1 05/07/2015,00:00:00  1.53894845404996E+0002
1 06/07/2015,00:00:00  1.53894845404996E+0002
1 07/07/2015,00:00:00  1.45967415637009E+0002
1 08/07/2015,00:00:00  1.45967415637009E+0002
1 09/07/2015,00:00:00  1.45967415637009E+0002
1 10/07/2015,00:00:00  1.45967415637009E+0002
1 11/07/2015,00:00:00  1.38627762074905E+0002
1 12/07/2015,00:00:00  1.38627762074905E+0002
1 13/07/2015,00:00:00  1.38627762074905E+0002
1 14/07/2015,00:00:00  1.38627762074905E+0002
